,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION(Megawatthours),GENERATION(TWh)
58997,2022,MO,Total Electric Power Industry,Pumped Storage,165445.0,0.165445
58998,2022,MO,Total Electric Power Industry,Hydroelectric Conventional,1383768.0,1.383768
58999,2022,MO,Total Electric Power Industry,Natural Gas,8151578.0,8.151578
59000,2022,MO,Total Electric Power Industry,Nuclear,8874769.0,8.874769
59001,2022,MO,Total Electric Power Industry,Other,0.0,0.0
59002,2022,MO,Total Electric Power Industry,Petroleum,162962.0,0.162962
59003,2022,MO,Total Electric Power Industry,Solar Thermal and Photovoltaic,152279.0,0.152279
59004,2022,MO,Total Electric Power Industry,Other Biomass,70547.0,0.070547
59005,2022,MO,Total Electric Power Industry,Wind,7524605.0,7.524605
59006,2022,MO,Total Electric Power Industry,Wood and Wood Derived Fuels,42700.0,0.0427
59039,2022,MS,Total Electric Power Industry,Total,67781240.0,67.78124
59040,2022,MS,Total Electric Power Industry,Coal,5651367.0,5.651367
59041,2022,MS,Total Electric Power Industry,Natural Gas,51719171.0,51.719171
59042,2022,MS,Total Electric Power Industry,Nuclear,8600330.0,8.60033
59043,2022,MS,Total Electric Power Industry,Other,0.0,0.0
59044,2022,MS,Total Electric Power Industry,Petroleum,9149.0,0.009149
59045,2022,MS,Total Electric Power Industry,Solar Thermal and Photovoltaic,503860.0,0.50386
59046,2022,MS,Total Electric Power Industry,Other Biomass,9715.0,0.009715
59047,2022,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,1287647.0,1.287647
59068,2022,MT,Total Electric Power Industry,Total,27088740.0,27.08874
59069,2022,MT,Total Electric Power Industry,Coal,11651073.0,11.651073
59070,2022,MT,Total Electric Power Industry,Hydroelectric Conventional,9885929.0,9.885929
59071,2022,MT,Total Electric Power Industry,Natural Gas,728758.0,0.728758
59072,2022,MT,Total Electric Power Industry,Other Gases,4257.0,0.004257
59073,2022,MT,Total Electric Power Industry,Other,272422.0,0.272422
59074,2022,MT,Total Electric Power Industry,Petroleum,464879.0,0.464879
59075,2022,MT,Total Electric Power Industry,Solar Thermal and Photovoltaic,31611.0,0.031611
59076,2022,MT,Total Electric Power Industry,Other Biomass,8911.0,0.008911
59077,2022,MT,Total Electric Power Industry,Wind,4021860.0,4.02186
59078,2022,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,19041.0,0.019041
59103,2022,NC,Total Electric Power Industry,Total,134257088.0,134.257088
59104,2022,NC,Total Electric Power Industry,Coal,14673743.0,14.673743
59105,2022,NC,Total Electric Power Industry,Pumped Storage,0.0,0.0
59106,2022,NC,Total Electric Power Industry,Hydroelectric Conventional,4686291.0,4.686291
59107,2022,NC,Total Electric Power Industry,Natural Gas,58131396.0,58.131396
59108,2022,NC,Total Electric Power Industry,Nuclear,42644282.0,42.644282
59109,2022,NC,Total Electric Power Industry,Other,208052.0,0.208052
59110,2022,NC,Total Electric Power Industry,Petroleum,277752.0,0.277752
59111,2022,NC,Total Electric Power Industry,Solar Thermal and Photovoltaic,11263943.0,11.263943
59112,2022,NC,Total Electric Power Industry,Other Biomass,461223.0,0.461223
59113,2022,NC,Total Electric Power Industry,Wind,546755.0,0.546755
59114,2022,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,1363651.0,1.363651
59153,2022,ND,Total Electric Power Industry,Total,44400956.0,44.400956
59154,2022,ND,Total Electric Power Industry,Coal,24831185.0,24.831185
59155,2022,ND,Total Electric Power Industry,Hydroelectric Conventional,1791409.0,1.791409
59156,2022,ND,Total Electric Power Industry,Natural Gas,1453359.0,1.453359
59157,2022,ND,Total Electric Power Industry,Other Gases,30748.0,0.030748
59158,2022,ND,Total Electric Power Industry,Other,15086.0,0.015086
59159,2022,ND,Total Electric Power Industry,Petroleum,29281.0,0.029281
59160,2022,ND,Total Electric Power Industry,Other Biomass,0.0,0.0
59161,2022,ND,Total Electric Power Industry,Wind,16249888.0,16.249888
59180,2022,NE,Total Electric Power Industry,Total,40692718.0,40.692718
59181,2022,NE,Total Electric Power Industry,Coal,19945269.0,19.945269
59182,2022,NE,Total Electric Power Industry,Hydroelectric Conventional,1057372.0,1.057372
59183,2022,NE,Total Electric Power Industry,Natural Gas,1260182.0,1.260182
59184,2022,NE,Total Electric Power Industry,Nuclear,5618504.0,5.618504
59185,2022,NE,Total Electric Power Industry,Other,-105.0,-0.000105
59186,2022,NE,Total Electric Power Industry,Petroleum,35109.0,0.035109
59187,2022,NE,Total Electric Power Industry,Solar Thermal and Photovoltaic,73816.0,0.073816
59188,2022,NE,Total Electric Power Industry,Other Biomass,88510.0,0.08851
59189,2022,NE,Total Electric Power Industry,Wind,12614061.0,12.614061
59190,2022,NE,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,0.0
59213,2022,NH,Total Electric Power Industry,Total,18764393.0,18.764393
59214,2022,NH,Total Electric Power Industry,Coal,305456.0,0.305456
59215,2022,NH,Total Electric Power Industry,Hydroelectric Conventional,1201292.0,1.201292
59216,2022,NH,Total Electric Power Industry,Natural Gas,4501923.0,4.501923
59217,2022,NH,Total Electric Power Industry,Nuclear,10921528.0,10.921528
59218,2022,NH,Total Electric Power Industry,Other,49858.0,0.049858
59219,2022,NH,Total Electric Power Industry,Petroleum,445352.0,0.445352
59220,2022,NH,Total Electric Power Industry,Solar Thermal and Photovoltaic,3908.0,0.003908
59221,2022,NH,Total Electric Power Industry,Other Biomass,141372.0,0.141372
59222,2022,NH,Total Electric Power Industry,Wind,482322.0,0.482322
59223,2022,NH,Total Electric Power Industry,Wood and Wood Derived Fuels,711383.0,0.711383
59244,2022,NJ,Total Electric Power Industry,Total,65060636.0,65.060636
59245,2022,NJ,Total Electric Power Industry,Coal,497783.0,0.497783
59246,2022,NJ,Total Electric Power Industry,Pumped Storage,-135854.0,-0.135854
59247,2022,NJ,Total Electric Power Industry,Hydroelectric Conventional,5226.0,0.005226
59248,2022,NJ,Total Electric Power Industry,Natural Gas,33394323.0,33.394323
59249,2022,NJ,Total Electric Power Industry,Nuclear,28318800.0,28.3188
59250,2022,NJ,Total Electric Power Industry,Other Gases,119861.0,0.119861
59251,2022,NJ,Total Electric Power Industry,Other,518980.0,0.51898
59252,2022,NJ,Total Electric Power Industry,Petroleum,137928.0,0.137928
59253,2022,NJ,Total Electric Power Industry,Solar Thermal and Photovoltaic,1518495.0,1.518495
59254,2022,NJ,Total Electric Power Industry,Other Biomass,663466.0,0.663466
59255,2022,NJ,Total Electric Power Industry,Wind,21629.0,0.021629
59290,2022,NM,Total Electric Power Industry,Total,40889036.0,40.889036
59291,2022,NM,Total Electric Power Industry,Coal,13291996.0,13.291996
59292,2022,NM,Total Electric Power Industry,Geothermal,47080.0,0.04708
59293,2022,NM,Total Electric Power Industry,Hydroelectric Conventional,120825.0,0.120825
59294,2022,NM,Total Electric Power Industry,Natural Gas,10978171.0,10.978171
59295,2022,NM,Total Electric Power Industry,Other,-389.0,-0.000389
59296,2022,NM,Total Electric Power Industry,Petroleum,18925.0,0.018925
